"21,8","18,8","26,4","1,2",0,"29,1","475,9",21961
"23,9","17,7","29,4","0,0",1,"29,8","571,8",30466
"13,9","12,3","15,8","0,0",1,"28,7","193,1",20827
"18,3","16,5","22,2","0,0",0,"29,9","334,4",19366
"14,6","10,7","20,6","14,9",1,"29,0","214,4",24139
"23,3","19,4","30,7","1,3",1,"30,7","541,3",31885
"22,7","17,8","28,7","0,0",1,"30,7","516,0",35065
"17,0","15,8","19,6","7,0",0,"31,3","290,1",20584
"18,2","16,5","22,7","1,8",0,"31,7","330,8",24189
"19,5","15,5","25,7","0,0",0,"31,8","379,6",24043
"15,9","14,4","18,3","0,0",0,"30,2","252,7",20043
"20,8","18,2","24,4","14,3",0,"31,3","431,6",22734
"27,7","22,2","35,8","3,6",0,"28,2","764,8",28680
"20,5","17,2","25,9","7,4",0,"32,8","421,9",22211
"18,1","12,0","26,2","0,0",1,"31,8","327,3",31047
"16,8","13,9","21,3","0,0",0,"32,7","281,5",18671
"26,2","21,7","33,5","0,0",1,"31,9","687,7",37178
"18,6","14,1","25,0","0,0",0,"33,0","347,4",26603
"22,9","18,5","28,1","0,0",0,"28,2","522,3",23850
"20,2","17,8","24,4","28,0",1,"29,3","406,8",29044
"19,4","13,6","24,6","0,0",0,"32,1","376,5",23420
"21,2","18,1","23,8","0,2",1,"30,6","449,7",26489
"24,3","22,0","29,3","0,0",1,"29,2","591,6",30198
"26,0","18,9","33,3","0,0",0,"28,9","677,5",32518
"18,4","16,6","23,0","0,0",0,"28,9","339,4",21928
"22,0","18,5","28,1","20,4",0,"30,9","481,9",21090
"26,5","24,0","32,8","0,0",0,"32,1","701,2",28393
"18,3","14,4","23,8","0,4",0,"28,9","335,1",22895
"17,4","15,6","20,0","0,0",0,"30,0","302,9",20266
"25,9","19,2","32,8","0,1",0,"30,0","670,4",26501
"21,0","16,9","30,1","0,0",0,"29,9","441,5",21941
"18,8","17,1","22,8","0,0",1,"28,3","353,3",26872
"19,2","15,3","25,7","0,0",1,"28,1","369,7",32847
"15,6","14,6","17,5","16,3",1,"28,6","242,8",20323
"21,1","15,0","27,4","0,0",0,"31,1","447,3",22090
"20,6","15,5","25,8","0,0",1,"31,9","425,2",27488
"25,8","16,9","34,6","0,0",0,"31,0","664,3",27314
"21,3","16,9","27,8","0,0",1,"30,1","453,9",29895
"19,3","13,5","25,6","0,0",1,"32,7","371,2",30506
"22,0","19,8","25,6","0,0",0,"31,4","483,6",27837
"26,8","23,4","31,9","0,0",0,"32,0","715,8",24952
"24,7","16,9","31,9","0,0",0,"31,1","611,8",24836
"15,8","13,6","18,8","0,0",0,"32,8","250,2",17783
"24,4","19,1","32,1","47,6",0,"32,3","595,5",27829
"16,0","12,5","21,7","24,5",0,"29,8","254,5",21773
"15,8","14,1","18,1","2,4",1,"28,8","249,6",21390
"22,7","18,6","28,8","12,7",1,"29,9","513,4",27781
"16,4","11,1","26,2","0,0",0,"31,3","269,8",23742
"18,7","15,8","23,2","0,8",1,"29,8","348,2",29869
"24,2","18,9","32,0","0,0",0,"32,9","587,8",26938
"20,7","15,7","27,2","0,0",1,"28,1","430,0",30684
"21,3","18,0","28,2","0,0",0,"28,3","452,2",21561
"21,4","17,2","26,6","0,0",0,"32,6","456,4",23632
"20,7","14,6","26,4","0,0",0,"30,7","430,0",25350
"21,3","18,8","26,6","3,1",0,"31,0","455,6",23155
"17,2","12,8","22,4","0,0",1,"29,1","294,8",25418
"16,7","13,3","20,2","0,0",0,"30,4","278,2",18648
"24,6","19,1","29,8","16,1",1,"29,5","603,1",26299
